prolificInfo,startTime,endTime,windowWidth,windowHeight,storyIndex,firstStoryName,secondStoryName,1-What is your age? (in years),2- What is your level of English proficiency?,3-Which most accurately describes you?,4-What is the highest level of education you have completed?,5-How often do you read long form (novels/textbooks) text online?,6-I feel comfortable using technology.,7-What is your experience with Wattpad?,8-First Story Time(ms),9-What decision do the four men make when the guards appear?,10-The layout of the webpage is easy to understand and use.,11-Navigating to the next chapter or section is simple and straightforward.,12-The color scheme of the webpage is visually appealing.,13-The font size and style are easy to read.,14-The amount of text displayed on a single page is appropriate and readable.,"15-Are you still paying attention? For this question, please select 'Neutral' specifically.",16-The webpage loads quickly and performs smoothly.,17-The webpage is accessible for users with visual or physical impairments.,18-The design feels cluttered or overwhelming.,19-The webpage needs significant improvement to meet user expectations.,"20-The interactive features (e.g., comments, reactions) improve my reading experience.",21-I enjoy spending time browsing or reading on this webpage.,22-The design keeps me engaged while reading.,"23-The images, icons, or visuals used enhance the reading experience.",24-I am satisfied with the overall design of the webpage.,25-I would recommend this webpage to others who enjoy reading online.,26-Visible(headerNavLogo),26-Visible(headerNavBrowse),26-Visible(headerNavCommunity),26-Visible(headerNavSearch),26-Visible(headerNavWrite),26-Visible(headerNavPremium),26-Visible(headerNavLogin),26-Visible(headerNavSignup),26-Visible(headerStoryChapterPicker),26-Visible(headerStoryAdd),26-Visible(headerStoryVote),26-Visible(headerProgressBar),26-Visible(bodyStoryDetails),26-Visible(bodyChapterHeader),26-Visible(bodyChapterStats),26-Visible(bodySidebar),26-Visible(bodyChapterContent),26-Visible(bodyChapterNavigation),26-Visible(bodyChapterInteractions),26-Visible(bodyInlineComments),26-Visible(bodyCommentSection),26-Visible(bodyRelatedStories),26-Visible(footer),27-Font Size,28-Content Width,29-Font Line Height,30-Letter spacing,31-Font Family,32-Theme,33-Second Story Time(ms),34-How does Edmond react to his betrayal?,"35-Visible Interface Elements (e.g., navigation, chapter text, comments)",36-Font Size,37-Content Width,38-Font Line Height,39-Letter spacing,40-Font Family,41-Theme,"42-If any of your answers were no, please provide any additional reasoning.","43-Please verify that your Prolific ID is present and correct. If something has gone wrong, let us know in the textbox below.",44-,9-How does Edmond react to his betrayal?,34-What decision do the four men make when the guards appear?,first_story_word_count,second_story_word_count,first_story_time_minutes,second_story_time_minutes,first_story_reading_speed,second_story_reading_speed
"{'prolificPid': '611cf8c8a3b45b07bbacb120', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3f644159c39c05e3d1b'}","{'seconds': 1736627106, 'nanoseconds': 382000000}","{'seconds': 1736627887, 'nanoseconds': 157000000}",1536,826,1,KingsMusketeers,TheLostTreasure,38,4,0,2,3,5,1,70580,2.0,5,4,4,4,4,3,4,3,2,2,4,4,4,4,4,4,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,14,625,30,0.0,0,0,76210,0.0,0,0,0,0,0,0,0,,,,,,160,175,1.1763333333333332,1.2701666666666667,136.01586851799377,137.77719459388533
"{'prolificPid': '605cf03f7dd3c70fc20cf732', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3d390b6fc341bc9f8a1'}","{'seconds': 1736627141, 'nanoseconds': 976000000}","{'seconds': 1736628026, 'nanoseconds': 859000000}",1920,957,0,TheLostTreasure,KingsMusketeers,24,3,1,2,2,4,2,203270,,5,5,4,4,5,3,4,4,5,5,5,4,4,5,4,4,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,18,800,34,0.3,1,1,92260,,0,0,0,0,0,0,0,,,,0.0,2.0,175,160,3.3878333333333335,1.5376666666666667,51.65543365966448,104.05376110990679
"{'prolificPid': '65cd0bb2a8c70a340c80a5c8', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3e2b3c8e0afddc38096'}","{'seconds': 1736627182, 'nanoseconds': 298000000}","{'seconds': 1736628711, 'nanoseconds': 662000000}",1920,919,1,KingsMusketeers,TheLostTreasure,23,3,1,2,0,5,1,34090,2.0,4,5,4,4,5,3,5,2,2,2,1,4,2,2,4,3,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,True,18,675,34,0.1,2,1,52420,0.0,0,0,0,1,1,1,0,,,,,,160,175,0.5681666666666667,0.8736666666666667,281.6075095335875,200.3052270125906
"{'prolificPid': '5b8d7d77b1b22d00017e2daf', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3e8710001872f7081a9'}","{'seconds': 1736627197, 'nanoseconds': 22000000}","{'seconds': 1736627689, 'nanoseconds': 260000000}",2560,1271,1,KingsMusketeers,TheLostTreasure,32,3,1,2,3,5,0,122470,2.0,4,5,4,2,4,3,4,2,2,2,3,4,3,4,4,4,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,22,650,30,0.2,0,0,52370,0.0,0,0,0,0,0,0,0,,,,,,160,175,2.041166666666667,0.8728333333333333,78.38654364334123,200.49646744319267
"{'prolificPid': '611ffc2ea28e21fa33671d4c', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3e6fd5ee17b7d8ab104'}","{'seconds': 1736627221, 'nanoseconds': 52000000}","{'seconds': 1736627625, 'nanoseconds': 512000000}",1440,778,0,TheLostTreasure,KingsMusketeers,29,4,0,2,1,5,0,46090,,5,5,5,5,5,3,5,3,1,2,3,4,4,4,4,4,True,True,True,True,False,False,True,True,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,18,650,26,-0.3,2,0,21580,,0,0,0,0,0,0,0,,,,0.0,2.0,175,160,0.7681666666666667,0.3596666666666667,227.8151442829247,444.85634847080627
"{'prolificPid': '5e12048c7605fe8839180a14', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d40025ab7625ed865a20'}","{'seconds': 1736627223, 'nanoseconds': 281000000}","{'seconds': 1736627584, 'nanoseconds': 236000000}",1920,927,1,KingsMusketeers,TheLostTreasure,23,3,1,2,1,5,0,66280,2.0,5,5,4,4,4,3,4,4,4,4,3,4,5,5,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,18,650,30,0.0,0,0,43590,0.0,0,0,0,0,0,0,0,,,,,,160,175,1.1046666666666667,0.7265,144.8400724200362,240.88093599449414
"{'prolificPid': '5e7a2fc429c35307d86105a1', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d4063a3aec69b24930fa'}","{'seconds': 1736627252, 'nanoseconds': 552000000}","{'seconds': 1736628225, 'nanoseconds': 167000000}",1920,919,0,TheLostTreasure,KingsMusketeers,30,3,1,4,1,5,1,100060,,5,5,5,3,3,3,5,3,1,1,5,4,4,3,4,3,True,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,True,True,False,True,False,False,False,18,700,30,0.1,0,0,46930,,0,0,1,0,0,0,0,"An option to ""justify"" the text (""justify"" as in MS Word) would be great.",,,0.0,2.0,175,160,1.6676666666666666,0.7821666666666667,104.9370377773336,204.55998295333475
"{'prolificPid': '611cfda46e28a6675bc39937', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d4033e5a37e918e6103f'}","{'seconds': 1736627261, 'nanoseconds': 743000000}","{'seconds': 1736627802, 'nanoseconds': 871000000}",1536,864,0,TheLostTreasure,KingsMusketeers,24,4,1,1,1,5,1,42800,,5,5,5,5,5,3,5,3,1,4,5,4,5,5,5,5,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,625,30,0.0,3,3,36450,,0,1,1,1,1,1,0,everything was great i prefer dark theme which is easier on eyes and the font i used seemed to be easier to read online as it wasnt so compacted together,,,0.0,2.0,175,160,0.7133333333333334,0.6075,245.3271028037383,263.3744855967078
"{'prolificPid': '5e5a86de348de22782d6de5e', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3f47652d833b4d8febf'}","{'seconds': 1736627267, 'nanoseconds': 46000000}","{'seconds': 1736627726, 'nanoseconds': 875000000}",1440,778,1,KingsMusketeers,TheLostTreasure,42,4,0,3,4,4,1,42040,2.0,4,5,4,4,4,3,4,3,2,2,4,4,4,4,4,4,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,18,850,26,0.9,2,1,37730,0.0,0,0,0,0,0,0,0,,5e5a86de348de22782d6de5e,,,,160,175,0.7006666666666667,0.6288333333333334,228.35394862036156,278.29313543599255
"{'prolificPid': '612023686076a80eb910d08a', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3fae83ff2f10531e1f4'}","{'seconds': 1736627271, 'nanoseconds': 625000000}","{'seconds': 1736628246, 'nanoseconds': 721000000}",1366,679,1,KingsMusketeers,TheLostTreasure,34,4,0,3,2,5,1,106850,2.0,4,4,3,4,5,3,5,2,2,3,2,3,4,3,4,4,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True,16,675,22,0.0,0,0,68350,0.0,0,0,0,0,0,0,0,,,,,,160,175,1.7808333333333333,1.1391666666666667,89.8455779129621,153.62106803218728
"{'prolificPid': '67276dbe692855fb2502a266', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3ce67ab9f3ffd599b95'}","{'seconds': 1736627282, 'nanoseconds': 761000000}","{'seconds': 1736627851, 'nanoseconds': 727000000}",1536,864,0,TheLostTreasure,KingsMusketeers,21,3,1,1,3,5,1,37600,,4,4,4,4,5,3,4,3,2,3,5,4,4,4,3,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,18,600,22,0.3,1,1,35290,,0,0,0,0,0,0,0,,,,0.0,2.0,175,160,0.6266666666666667,0.5881666666666666,279.25531914893617,272.03173703598753
"{'prolificPid': '60dc819d58acea32a86cb050', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3f9ea81b399426f2856'}","{'seconds': 1736627283, 'nanoseconds': 303000000}","{'seconds': 1736627781, 'nanoseconds': 316000000}",1707,746,1,KingsMusketeers,TheLostTreasure,22,2,0,2,1,4,2,22050,2.0,1,1,4,4,3,3,4,2,3,2,2,1,1,2,4,1,False,True,False,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,False,False,True,True,16,675,32,0.2,0,1,22760,0.0,0,0,0,0,0,0,0,,,,,,160,175,0.3675,0.37933333333333336,435.374149659864,461.335676625659
"{'prolificPid': '5f581d2df4976338427484d9', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d412eb218d72bc068586'}","{'seconds': 1736627295, 'nanoseconds': 725000000}","{'seconds': 1736627969, 'nanoseconds': 652000000}",1280,595,1,KingsMusketeers,TheLostTreasure,24,4,0,2,3,5,2,75110,2.0,4,5,3,4,5,3,4,3,2,3,4,4,4,5,4,5,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,18,550,32,0.7,1,1,60440,0.0,0,1,0,1,1,0,1,,,,,,160,175,1.2518333333333334,1.0073333333333334,127.81254160564505,173.72600926538715
"{'prolificPid': '65522e1fba62c10c30a4cc56', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d40e0ba113673d881e67'}","{'seconds': 1736627300, 'nanoseconds': 331000000}","{'seconds': 1736627805, 'nanoseconds': 629000000}",1920,919,0,TheLostTreasure,KingsMusketeers,38,3,0,2,2,5,0,72240,,5,5,5,5,4,3,5,5,1,2,5,5,4,3,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,18,750,34,0.0,2,0,54000,,0,0,0,0,0,0,0,,65522e1fba62c10c30a4cc56,,0.0,2.0,175,160,1.204,0.9,145.34883720930233,177.77777777777777
"{'prolificPid': '65944a7812155ed118b836c4', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3fbffff19de3805967d'}","{'seconds': 1736627358, 'nanoseconds': 27000000}","{'seconds': 1736628028, 'nanoseconds': 279000000}",1440,785,1,KingsMusketeers,TheLostTreasure,48,4,0,3,2,5,0,57580,2.0,4,4,3,4,4,3,4,1,3,3,2,4,4,3,4,3,True,True,True,True,False,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,18,675,32,0.2,0,0,56630,0.0,0,0,0,0,0,0,0,,,,,,160,175,0.9596666666666667,0.9438333333333333,166.7245571378951,185.4140914709518
"{'prolificPid': '60468e9780d4210818d9f801', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3eccbe48b635ea6bd88'}","{'seconds': 1736627493, 'nanoseconds': 883000000}","{'seconds': 1736627858, 'nanoseconds': 773000000}",1475,703,0,TheLostTreasure,KingsMusketeers,24,3,1,1,2,5,2,86750,,5,5,5,5,5,3,5,4,3,5,5,5,3,3,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,625,30,0.0,0,0,71250,,0,0,0,0,0,0,0,,,,0.0,2.0,175,160,1.4458333333333333,1.1875,121.03746397694525,134.73684210526315
"{'prolificPid': '65f0ae4f838dcca4426e1a44', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3f72d5083834c346289'}","{'seconds': 1736627539, 'nanoseconds': 442000000}","{'seconds': 1736627729, 'nanoseconds': 28000000}",1366,599,0,TheLostTreasure,KingsMusketeers,0,3,0,2,4,5,2,11910,,5,5,5,5,5,3,5,3,4,1,5,5,2,2,4,5,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,18,675,30,0.0,2,1,16080,,0,0,0,0,0,0,0,,,,0.0,2.0,175,160,0.1985,0.268,881.6120906801007,597.0149253731342
"{'prolificPid': '60cfa8282c2d838ec7e98e95', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3fc8fe3e14925bf5f4d'}","{'seconds': 1736627560, 'nanoseconds': 748000000}","{'seconds': 1736627803, 'nanoseconds': 33000000}",1420,675,1,KingsMusketeers,TheLostTreasure,23,4,0,1,1,5,2,20390,2.0,4,4,4,4,4,3,4,3,3,2,4,4,3,3,4,4,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,16,575,28,0.0,2,0,31510,0.0,0,0,0,0,0,0,0,,,,,,160,175,0.3398333333333333,0.5251666666666667,470.81902893575284,333.22754681053635
"{'prolificPid': '673c8f96cbc4b718685e1b7f', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d4018da38abd66d8a451'}","{'seconds': 1736627759, 'nanoseconds': 256000000}","{'seconds': 1736628093, 'nanoseconds': 958000000}",1912,1072,0,TheLostTreasure,KingsMusketeers,22,4,1,2,3,5,0,18120,,5,5,3,4,4,3,4,3,4,2,3,3,2,1,4,3,True,True,False,False,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,True,True,True,True,18,625,30,0.0,1,2,46120,,0,0,1,1,1,0,0,I didn't change these parameters,,,0.0,2.0,175,160,0.302,0.7686666666666667,579.4701986754967,208.15264527320033
"{'prolificPid': '672745e2e0c33cb1a75fb2bb', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d410363be8933a12a9a8'}","{'seconds': 1736627784, 'nanoseconds': 544000000}","{'seconds': 1736628059, 'nanoseconds': 840000000}",1920,919,0,TheLostTreasure,KingsMusketeers,31,3,1,2,1,5,0,37210,,4,5,4,4,4,3,5,3,2,2,4,3,4,4,4,4,False,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,16,625,20,0.0,3,0,33060,,1,0,1,1,0,0,1,I found it easier to read and follow the text with less distractions.,672745e2e0c33cb1a75fb2bb,,0.0,2.0,175,160,0.6201666666666666,0.551,282.1822090835797,290.3811252268602
"{'prolificPid': '666b32ab538008326c3fc785', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3f2cbbd446dbd0584f9'}","{'seconds': 1736627834, 'nanoseconds': 349000000}","{'seconds': 1736628507, 'nanoseconds': 658000000}",1366,641,1,KingsMusketeers,TheLostTreasure,21,4,0,2,3,5,2,110250,2.0,5,5,5,5,5,3,5,4,2,1,3,5,5,5,5,5,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,20,775,34,0.8,1,1,54630,0.0,0,0,0,0,0,0,0,,,,,,160,175,1.8375,0.9105,87.07482993197279,192.20208676551346
"{'prolificPid': '615039e5815124bccc71c92b', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d6399ec2c20e0fef418b'}","{'seconds': 1736627919, 'nanoseconds': 157000000}","{'seconds': 1736628395, 'nanoseconds': 270000000}",1920,945,1,KingsMusketeers,TheLostTreasure,49,4,1,3,3,5,0,48020,2.0,5,5,4,5,5,3,5,4,1,1,4,5,4,4,5,5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,16,625,30,0.0,0,1,69460,0.0,0,0,0,0,0,0,0,,,,,,160,175,0.8003333333333333,1.1576666666666666,199.91670137442733,151.1661387849122
"{'prolificPid': '65e1e252e1ccdbd528045543', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782d3e0379f4de814de15e6'}","{'seconds': 1736628886, 'nanoseconds': 289000000}","{'seconds': 1736629159, 'nanoseconds': 799000000}",2048,1152,1,KingsMusketeers,TheLostTreasure,20,4,1,1,3,5,1,44070,2.0,4,4,4,4,5,3,5,4,3,4,4,4,4,4,4,4,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,False,False,True,True,True,16,625,26,-0.1,0,0,38380,0.0,0,0,0,0,0,0,0,,,,,,160,175,0.7345,0.6396666666666667,217.83526208304968,273.5799895779051
"{'prolificPid': '6150ca3f37e1fe330f70311d', 'studyId': '67686aff3c31e9a4af348b41', 'sessionId': '6782df5cbb7fe806bd6783ce'}","{'seconds': 1736630327, 'nanoseconds': 841000000}","{'seconds': 1736630677, 'nanoseconds': 596000000}",1536,742,0,TheLostTreasure,KingsMusketeers,23,3,1,2,1,5,1,47390,,5,5,4,3,4,3,5,3,1,2,2,4,3,3,4,4,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,False,False,True,18,650,36,1.1,2,0,30410,,0,0,0,0,0,0,0,,,,0.0,2.0,175,160,0.7898333333333334,0.5068333333333334,221.56573116691283,315.68562972706343
